sort_index,file_path,relative_file_path,path_base,title,document_date,effective_date,source_page_date,source_page_url,source_page_title,crawl_date,file_mtime,date_source,date_confidence,legal_sort_bucket,legal_sort_date,legal_sort_confidence,legal_sort_group,legal_sort_sequence,sort_policy_source,sort_policy_reason,relationship_hint,original_file_url,url_status,url_ok,url_source,notes
1,ctsv/bai-viet/pdf/ND49CP-c451eef3.pdf,ctsv/bai-viet/pdf/ND49CP-c451eef3.pdf,manifest_dir,ND49CP-c451eef3.pdf,,,2010-05-14,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/thong-tu-huong-dan-mghp-cua-bo-gddt-bo-tc-bo-ttnxh#main),2026-07-09,2026-07-09T11:37:32.638659,missing,low,source_page_date,2010-05-14,medium,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/attachments/article/219/ND49CP.pdf,unchecked,false,metadata_file_path,from_metadata
2,ctsv/bai-viet/pdf/TT_29_2010-5d6db664.pdf,ctsv/bai-viet/pdf/TT_29_2010-5d6db664.pdf,manifest_dir,TT_29_2010-5d6db664.pdf,,,2010-05-14,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/thong-tu-huong-dan-mghp-cua-bo-gddt-bo-tc-bo-ttnxh#main),2026-07-09,2026-07-09T11:37:32.541396,missing,low,source_page_date,2010-05-14,medium,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/attachments/article/219/TT_29_2010.pdf,unchecked,false,metadata_file_path,from_metadata
3,ctsv/bai-viet/pdf/TT_29_2010-c688c5be.pdf,ctsv/bai-viet/pdf/TT_29_2010-c688c5be.pdf,manifest_dir,TT_29_2010-c688c5be.pdf,,,2010-11-15,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/thong-tu-29-2010#main),2026-07-09,2026-07-09T11:37:31.684422,missing,low,source_page_date,2010-11-15,medium,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/attachments/article/52/TT_29_2010.pdf,unchecked,false,metadata_file_path,from_metadata
4,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-1-ba6fe0ba.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-1-ba6fe0ba.pdf,manifest_dir,CTDT_KHMT_khoa-1-ba6fe0ba.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:16.235383,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,002,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KHMT_khoa%201.pdf,unchecked,false,cached_fuzzy_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
5,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-2-73e698aa.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-2-73e698aa.pdf,manifest_dir,CTDT_KHMT_khoa-2-73e698aa.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:16.350479,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,004,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KHMT_khoa%201.pdf,unchecked,false,cached_fuzzy_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
6,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-3-7dc30753.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-3-7dc30753.pdf,manifest_dir,CTDT_KHMT_khoa-3-7dc30753.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:16.439386,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,006,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KHMT_khoa%203.pdf,unchecked,false,cached_fuzzy_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
7,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-4-81afba3c.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-4-81afba3c.pdf,manifest_dir,CTDT_KHMT_khoa-4-81afba3c.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:16.540160,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,008,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KHMT_khoa%204.pdf,unchecked,false,cached_fuzzy_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
8,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CNPM_khoa1-d379fbb0.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CNPM_khoa1-d379fbb0.pdf,manifest_dir,CTDT_CNPM_khoa1-d379fbb0.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:16.638457,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,010,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CNPM_khoa1.pdf,unchecked,false,cached_normalized_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
9,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CNPM_khoa2-9227bf0b.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CNPM_khoa2-9227bf0b.pdf,manifest_dir,CTDT_CNPM_khoa2-9227bf0b.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:16.744819,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,012,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CNPM_khoa2.pdf,unchecked,false,cached_normalized_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
10,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-1-da9def41.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-1-da9def41.pdf,manifest_dir,CTDT_HTTT_khoa-1-da9def41.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:16.844182,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,014,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%201.pdf,unchecked,false,cached_fuzzy_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
11,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-2-4c5a8026.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-2-4c5a8026.pdf,manifest_dir,CTDT_HTTT_khoa-2-4c5a8026.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:16.941722,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,016,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%201.pdf,unchecked,false,cached_fuzzy_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
12,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-3-8eb6d471.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-3-8eb6d471.pdf,manifest_dir,CTDT_HTTT_khoa-3-8eb6d471.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:17.046700,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,018,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%203.pdf,unchecked,false,cached_fuzzy_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
13,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-4-7b63002a.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-4-7b63002a.pdf,manifest_dir,CTDT_HTTT_khoa-4-7b63002a.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:17.181320,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,020,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%204.pdf,unchecked,false,cached_fuzzy_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
14,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-5-c8d617b4.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-5-c8d617b4.pdf,manifest_dir,CTDT_HTTT_khoa-5-c8d617b4.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:17.294589,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,022,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%205.pdf,unchecked,false,cached_fuzzy_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
15,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-1-f0101eaa.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-1-f0101eaa.pdf,manifest_dir,CTDT_KTMT_khoa-1-f0101eaa.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:17.384315,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,024,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%201.pdf,unchecked,false,cached_fuzzy_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
16,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-2-a8b25a4b.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-2-a8b25a4b.pdf,manifest_dir,CTDT_KTMT_khoa-2-a8b25a4b.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:17.478244,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,026,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%201.pdf,unchecked,false,cached_fuzzy_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
17,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-3-f283a935.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-3-f283a935.pdf,manifest_dir,CTDT_KTMT_khoa-3-f283a935.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:17.566093,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,028,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%203.pdf,unchecked,false,cached_fuzzy_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
18,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-4-9d98aff9.pdf,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-4-9d98aff9.pdf,manifest_dir,CTDT_KTMT_khoa-4-9d98aff9.pdf,,,,,[Skip to content](https://daa.uit.edu.vn/content/chuong-trinh-dao-tao-cu#main),,2026-04-16T19:52:17.656312,missing,low,manual_override,2011-01-01,manual,legacy_curriculum_source_page_order,030,manual_override,manual legacy curriculum order from official source-page table,base_or_unknown,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%204.pdf,unchecked,false,cached_fuzzy_name,discovered_from_filesystem;manual_override:manual legacy curriculum order from official source-page table
