relative_file_path,manual_sort_bucket,manual_sort_date,manual_sort_group,manual_sort_sequence,manual_sort_confidence,manual_reason
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa%201.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,001,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-1-ba6fe0ba.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,002,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa%202.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,003,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-2-73e698aa.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,004,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa%203.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,005,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-3-7dc30753.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,006,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa%204.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,007,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-4-81afba3c.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,008,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CNPM_khoa1.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,009,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CNPM_khoa1-d379fbb0.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,010,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CNPM_khoa2.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,011,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CNPM_khoa2-9227bf0b.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,012,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa%201.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,013,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-1-da9def41.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,014,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa%202.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,015,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-2-4c5a8026.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,016,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa%203.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,017,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-3-8eb6d471.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,018,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa%204.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,019,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-4-7b63002a.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,020,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa%205.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,021,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-5-c8d617b4.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,022,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa%201.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,023,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-1-f0101eaa.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,024,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa%202.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,025,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-2-a8b25a4b.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,026,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa%203.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,027,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-3-f283a935.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,028,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa%204.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,029,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-4-9d98aff9.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,030,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa%205.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,031,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-5-703230b6.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,032,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_MMT_khoa%201.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,033,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_MMT_khoa-1-09fe0bb1.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,034,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_MMT_khoa%202.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,035,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_MMT_khoa-2-e285d7dd.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,036,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa%201.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,037,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa-1-400d66c6.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,038,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa%202.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,039,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa-2-2e3f57bc.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,040,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa%203.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,041,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa-3-403d6b20.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,042,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa%204.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,043,manual,manual legacy curriculum order from official source-page table
daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa-4-cf6d4c8c.pdf,manual_override,2011-01-01,legacy_curriculum_source_page_order,044,manual,manual legacy curriculum order from official source-page table
daa/quydinh_huongdan/quy-trinh-can-bo-giang-day/pdf/hdsd_giangdaytructuyentrenmicrosoftteams.pdf,manual_override,2020-01-01,teaching_guides_online_source_order,001,manual,manual teaching-guide order from attachment list on source page
daa/quydinh_huongdan/quy-trinh-can-bo-giang-day/pdf/hdsd_giangdaytructuyentrenmicrosoftteams-f7ef7f3b.pdf,manual_override,2020-01-01,teaching_guides_online_source_order,002,manual,manual teaching-guide order from attachment list on source page
daa/quydinh_huongdan/quy-trinh-can-bo-giang-day/pdf/huong_dan_phan_quyen_sv_tham_gia_0.pdf,manual_override,2020-01-01,teaching_guides_online_source_order,003,manual,manual teaching-guide order from attachment list on source page
daa/quydinh_huongdan/quy-trinh-can-bo-giang-day/pdf/huong_dan_phan_quyen_sv_tham_gia_0-efc2adbc.pdf,manual_override,2020-01-01,teaching_guides_online_source_order,004,manual,manual teaching-guide order from attachment list on source page
daa/quydinh_huongdan/quy-trinh-can-bo-giang-day/pdf/huongdansudungvideobaigiang.pdf,manual_override,2020-01-01,teaching_guides_online_source_order,005,manual,manual teaching-guide order from attachment list on source page
