sort_index,relative_file_path,original_file_url
1,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa%201.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KHMT_khoa%201.pdf
2,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-1-ba6fe0ba.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KHMT_khoa%201.pdf
3,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa%202.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KHMT_khoa%202.pdf
4,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-2-73e698aa.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KHMT_khoa%202.pdf
5,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa%203.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KHMT_khoa%203.pdf
6,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-3-7dc30753.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KHMT_khoa%203.pdf
7,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa%204.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KHMT_khoa%204.pdf
8,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KHMT_khoa-4-81afba3c.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KHMT_khoa%204.pdf
9,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CNPM_khoa1.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CNPM_khoa1.pdf
10,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CNPM_khoa1-d379fbb0.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CNPM_khoa1.pdf
11,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CNPM_khoa2.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CNPM_khoa2.pdf
12,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CNPM_khoa2-9227bf0b.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CNPM_khoa2.pdf
13,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa%201.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%201.pdf
14,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-1-da9def41.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%201.pdf
15,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa%202.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%202.pdf
16,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-2-4c5a8026.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%202.pdf
17,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa%203.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%203.pdf
18,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-3-8eb6d471.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%203.pdf
19,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa%204.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%204.pdf
20,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-4-7b63002a.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%204.pdf
21,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa%205.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%205.pdf
22,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_HTTT_khoa-5-c8d617b4.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_HTTT_khoa%205.pdf
23,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa%201.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%201.pdf
24,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-1-f0101eaa.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%201.pdf
25,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa%202.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%202.pdf
26,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-2-a8b25a4b.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%202.pdf
27,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa%203.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%203.pdf
28,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-3-f283a935.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%203.pdf
29,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa%204.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%204.pdf
30,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-4-9d98aff9.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%204.pdf
31,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa%205.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%205.pdf
32,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_KTMT_khoa-5-703230b6.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_KTMT_khoa%205.pdf
33,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_MMT_khoa%201.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_MMT_khoa%201.pdf
34,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_MMT_khoa-1-09fe0bb1.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_MMT_khoa%201.pdf
35,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_MMT_khoa%202.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_MMT_khoa%202.pdf
36,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_MMT_khoa-2-e285d7dd.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_MMT_khoa%202.pdf
37,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa%201.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CUNHANTAINANG_khoa%201.pdf
38,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa-1-400d66c6.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CUNHANTAINANG_khoa%201.pdf
39,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa%202.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CUNHANTAINANG_khoa%202.pdf
40,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa-2-2e3f57bc.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CUNHANTAINANG_khoa%202.pdf
